StateAndCounty,StateCode,CountyCode
"Sumter County, Florida",12,119
"Volusia County, Florida",12,127
"Barrow County, Georgia",13,013
"Bartow County, Georgia",13,015
"Bibb County, Georgia",13,021
"Bulloch County, Georgia",13,031
"Carroll County, Georgia",13,045
"Chatham County, Georgia",13,051
"Cherokee County, Georgia",13,057
"Clarke County, Georgia",13,059
"Clayton County, Georgia",13,063
"Cobb County, Georgia",13,067
"Columbia County, Georgia",13,073
"Coweta County, Georgia",13,077
"DeKalb County, Georgia",13,089
"Dougherty County, Georgia",13,095
"Douglas County, Georgia",13,097
"Fayette County, Georgia",13,113
"Floyd County, Georgia",13,115
"Forsyth County, Georgia",13,117
"Fulton County, Georgia",13,121
"Glynn County, Georgia",13,127
"Gwinnett County, Georgia",13,135
"Hall County, Georgia",13,139
"Henry County, Georgia",13,151
"Houston County, Georgia",13,153
"Liberty County, Georgia",13,179
"Lowndes County, Georgia",13,185
"Muscogee County, Georgia",13,215
"Newton County, Georgia",13,217
"Paulding County, Georgia",13,223
"Richmond County, Georgia",13,245
"Rockdale County, Georgia",13,247
"Troup County, Georgia",13,285
"Walker County, Georgia",13,295
"Walton County, Georgia",13,297
"Whitfield County, Georgia",13,313
"Hawaii County, Hawaii",15,001
"Honolulu County, Hawaii",15,003
"Kauai County, Hawaii",15,007
"Maui County, Hawaii",15,009
"Ada County, Idaho",16,001
"Bannock County, Idaho",16,005
"Bonneville County, Idaho",16,019
"Canyon County, Idaho",16,027
"Kootenai County, Idaho",16,055
"Twin Falls County, Idaho",16,083
"Adams County, Illinois",17,001
"Champaign County, Illinois",17,019
"Cook County, Illinois",17,031
"DeKalb County, Illinois",17,037
"DuPage County, Illinois",17,043
"Kane County, Illinois",17,089
"Kankakee County, Illinois",17,091
"Kendall County, Illinois",17,093
"Lake County, Illinois",17,097
"LaSalle County, Illinois",17,099
"McHenry County, Illinois",17,111
"McLean County, Illinois",17,113
"Macon County, Illinois",17,115
"Madison County, Illinois",17,119
"Peoria County, Illinois",17,143
"Rock Island County, Illinois",17,161
"St. Clair County, Illinois",17,163
"Sangamon County, Illinois",17,167
"Tazewell County, Illinois",17,179
"Vermilion County, Illinois",17,183
"Will County, Illinois",17,197
"Williamson County, Illinois",17,199
"Winnebago County, Illinois",17,201
"Allen County, Indiana",18,003
"Bartholomew County, Indiana",18,005
"Clark County, Indiana",18,019
"Delaware County, Indiana",18,035
"Elkhart County, Indiana",18,039
"Floyd County, Indiana",18,043
"Grant County, Indiana",18,053
"Hamilton County, Indiana",18,057
"Hancock County, Indiana",18,059
"Hendricks County, Indiana",18,063
"Howard County, Indiana",18,067
"Johnson County, Indiana",18,081
"Kosciusko County, Indiana",18,085
"Lake County, Indiana",18,089
"LaPorte County, Indiana",18,091
"Madison County, Indiana",18,095
"Marion County, Indiana",18,097
"Monroe County, Indiana",18,105
"Morgan County, Indiana",18,109
"Porter County, Indiana",18,127
"St. Joseph County, Indiana",18,141
"Tippecanoe County, Indiana",18,157
"Vanderburgh County, Indiana",18,163
"Vigo County, Indiana",18,167
"Wayne County, Indiana",18,177
"Black Hawk County, Iowa",19,013
"Dallas County, Iowa",19,049
"Dubuque County, Iowa",19,061
"Johnson County, Iowa",19,103
"Linn County, Iowa",19,113
"Polk County, Iowa",19,153
"Pottawattamie County, Iowa",19,155
"Scott County, Iowa",19,163
"Story County, Iowa",19,169
"Woodbury County, Iowa",19,193
"Butler County, Kansas",20,015
"Douglas County, Kansas",20,045
"Johnson County, Kansas",20,091
"Leavenworth County, Kansas",20,103
"Riley County, Kansas",20,161
"Sedgwick County, Kansas",20,173
"Shawnee County, Kansas",20,177
"Wyandotte County, Kansas",20,209
"Boone County, Kentucky",21,015
"Bullitt County, Kentucky",21,029
"Campbell County, Kentucky",21,037
"Christian County, Kentucky",21,047
"Daviess County, Kentucky",21,059
"Fayette County, Kentucky",21,067
"Hardin County, Kentucky",21,093
"Jefferson County, Kentucky",21,111
"Kenton County, Kentucky",21,117
"McCracken County, Kentucky",21,145
"Madison County, Kentucky",21,151
"Pike County, Kentucky",21,195
"Warren County, Kentucky",21,227
"Ascension Parish, Louisiana",22,005
"Bossier Parish, Louisiana",22,015
"Caddo Parish, Louisiana",22,017
"Calcasieu Parish, Louisiana",22,019
"East Baton Rouge Parish, Louisiana",22,033
"Iberia Parish, Louisiana",22,045
"Jefferson Parish, Louisiana",22,051
"Lafayette Parish, Louisiana",22,055
"Lafourche Parish, Louisiana",22,057
"Livingston Parish, Louisiana",22,063
"Orleans Parish, Louisiana",22,071
"Ouachita Parish, Louisiana",22,073
"Rapides Parish, Louisiana",22,079
"St. Landry Parish, Louisiana",22,097
"St. Tammany Parish, Louisiana",22,103
"Tangipahoa Parish, Louisiana",22,105
"Terrebonne Parish, Louisiana",22,109
"Androscoggin County, Maine",23,001
"Aroostook County, Maine",23,003
"Cumberland County, Maine",23,005
"Kennebec County, Maine",23,011
"Penobscot County, Maine",23,019
"York County, Maine",23,031
"Allegany County, Maryland",24,001
"Anne Arundel County, Maryland",24,003
"Baltimore County, Maryland",24,005
"Calvert County, Maryland",24,009
"Carroll County, Maryland",24,013
"Cecil County, Maryland",24,015
"Charles County, Maryland",24,017
"Frederick County, Maryland",24,021
"Harford County, Maryland",24,025
"Howard County, Maryland",24,027
"Montgomery County, Maryland",24,031
"Prince George's County, Maryland",24,033
"St. Mary's County, Maryland",24,037
"Washington County, Maryland",24,043
"Wicomico County, Maryland",24,045
"Baltimore city, Maryland",24,510
"Barnstable County, Massachusetts",25,001
"Berkshire County, Massachusetts",25,003
"Bristol County, Massachusetts",25,005
"Essex County, Massachusetts",25,009
"Franklin County, Massachusetts",25,011
"Hampden County, Massachusetts",25,013
"Hampshire County, Massachusetts",25,015
"Middlesex County, Massachusetts",25,017
"Norfolk County, Massachusetts",25,021
"Plymouth County, Massachusetts",25,023
"Suffolk County, Massachusetts",25,025
"Worcester County, Massachusetts",25,027
"Allegan County, Michigan",26,005
"Bay County, Michigan",26,017
"Berrien County, Michigan",26,021
"Calhoun County, Michigan",26,025
"Clinton County, Michigan",26,037
"Eaton County, Michigan",26,045
"Genesee County, Michigan",26,049
"Grand Traverse County, Michigan",26,055
"Ingham County, Michigan",26,065
"Isabella County, Michigan",26,073
"Jackson County, Michigan",26,075
"Kalamazoo County, Michigan",26,077
"Kent County, Michigan",26,081
"Lapeer County, Michigan",26,087
"Lenawee County, Michigan",26,091
"Livingston County, Michigan",26,093
"Macomb County, Michigan",26,099
"Marquette County, Michigan",26,103
"Midland County, Michigan",26,111
"Monroe County, Michigan",26,115
"Muskegon County, Michigan",26,121
"Oakland County, Michigan",26,125
"Ottawa County, Michigan",26,139
"Saginaw County, Michigan",26,145
"St. Clair County, Michigan",26,147
"Shiawassee County, Michigan",26,155
"Van Buren County, Michigan",26,159
"Washtenaw County, Michigan",26,161
"Wayne County, Michigan",26,163
"Anoka County, Minnesota",27,003
"Carver County, Minnesota",27,019
"Dakota County, Minnesota",27,037
"Hennepin County, Minnesota",27,053
"Olmsted County, Minnesota",27,109
"Ramsey County, Minnesota",27,123
"St. Louis County, Minnesota",27,137
"Scott County, Minnesota",27,139
"Sherburne County, Minnesota",27,141
"Stearns County, Minnesota",27,145
"Washington County, Minnesota",27,163
"Wright County, Minnesota",27,171
"DeSoto County, Mississippi",28,033
"Forrest County, Mississippi",28,035
"Harrison County, Mississippi",28,047
"Hinds County, Mississippi",28,049
"Jackson County, Mississippi",28,059
"Jones County, Mississippi",28,067
"Lauderdale County, Mississippi",28,075
"Lee County, Mississippi",28,081
"Madison County, Mississippi",28,089
"Rankin County, Mississippi",28,121
"Boone County, Missouri",29,019
"Buchanan County, Missouri",29,021
"Cape Girardeau County, Missouri",29,031
"Cass County, Missouri",29,037
"Christian County, Missouri",29,043
"Clay County, Missouri",29,047
"Cole County, Missouri",29,051
"Franklin County, Missouri",29,071
"Greene County, Missouri",29,077
"Jackson County, Missouri",29,095
"Jasper County, Missouri",29,097
"Jefferson County, Missouri",29,099
"Platte County, Missouri",29,165
"St. Charles County, Missouri",29,183
"St. Francois County, Missouri",29,187
"St. Louis County, Missouri",29,189
"St. Louis city, Missouri",29,510
"Cascade County, Montana",30,013
"Flathead County, Montana",30,029
"Gallatin County, Montana",30,031
"Missoula County, Montana",30,063
"Yellowstone County, Montana",30,111
"Douglas County, Nebraska",31,055
"Lancaster County, Nebraska",31,109
"Sarpy County, Nebraska",31,153
"Clark County, Nevada",32,003
"Washoe County, Nevada",32,031
